ab1,ab2,weight
5259,1028,0.282951631007496
5259,915,0.257609327885711
5259,3239,0.309477657983035
5259,4428,0.267634816416736
5259,2389,0.289889623173003
5259,5545,0.346889297126872
5259,3296,0.271476402438914
5259,605,0.244674514130379
5259,5582,0.297892722810936
5259,4999,0.257025630011223
5259,2322,0.243507198507591
5259,3265,0.412904492492384
5259,5258,0.266584448251763
5259,3251,0.334176238892227
5259,2438,0.321178462592462
4386,2883,0.311366962166999
4386,5607,0.277420771628101
4386,1028,0.248130823186247
4386,1391,0.253166334022166
4386,2389,0.275575815701503
4386,270,0.255251434131895
3320,5545,0.265514836623373
284,2883,0.252474606887124
284,2443,0.259001550489522
284,1028,0.260173420284046
284,937,0.257126647412109
284,3993,0.249730779196833
823,807,0.26702022258433
4447,3396,0.243714474213735
4447,2389,0.246639177980535
4447,5545,0.254602548405425
4447,3296,0.261804597634242
4447,2345,0.278903594288276
4447,2902,0.291578408010421
4447,3388,0.249571494040605
4447,2322,0.2531534583126
4447,3265,0.324406962035806
4447,4258,0.254163551515377
4447,3251,0.290038076669291
4447,2438,0.290684297946885
4447,3477,0.356539443133978
3162,3143,0.25777208816299
3162,1117,0.26485717977878
941,2490,0.253228032952315
941,2345,0.246905622903303
941,3993,0.240644692318814
941,3388,0.277306382858856
941,5245,0.287222935775618
941,5239,0.244382767808319
3258,5607,0.245499281234631
3258,1028,0.242248977847958
3258,915,0.252678198719979
3258,3264,0.253456921757145
3258,2774,0.256624363297793
3258,5545,0.271618010706557
3258,2345,0.254859861320489
3258,4748,0.240634531691243
3258,2438,0.285892324015237
2729,3396,0.262810293537317
2729,2067,0.241151683654778
2729,4382,0.256914180907029
2729,5387,0.243166536779805
2274,2883,0.241308967526488
2883,5607,0.272692371145278
2883,1137,0.300791483822654
2883,1028,0.300024415792168
2883,937,0.286490281353026
2883,5008,0.262218132445079
2883,1435,0.269192136680711
2883,270,0.298258224735032
2883,3691,0.244235720047197
2883,4105,0.242734420669263
2883,5258,0.262125814180424
2883,4258,0.249902342025922
2883,2780,0.248575107957792
2883,4400,0.263491488729882
198,3710,0.365180836725945
198,3669,0.287369056274733
4292,4382,0.318407018069788
4292,3111,0.249153542941637
2192,5583,0.245687124826276
2192,3138,0.280363192076077
2192,61,0.244831147683307
2192,2798,0.278872190958941
2192,2281,0.256011437782896
1077,4315,0.249662926293936
1077,3296,0.263990999917806
1077,3047,0.309383274502142
1077,5480,0.255992705747018
2443,1028,0.242559072405236
2443,3239,0.245168550539126
2443,3264,0.320163336217254
2443,937,0.247679495130927
2443,3993,0.274457018102869
2443,2322,0.254584222253929
2443,3265,0.278591627109713
2443,3251,0.300136509157984
2443,2438,0.267311770801887
3216,2386,0.248450088544592
3216,1215,0.247519950139529
3216,2780,0.244354777057061
3216,2777,0.256338666743594
3396,5607,0.249861944946334
3396,1137,0.252768028179686
3396,915,0.243986245805315
3396,1039,0.273802145876918
3396,3387,0.25742990196074
3396,4315,0.242588398959871
3396,5545,0.276750577256679
3396,2345,0.316134755569241
3396,2047,0.266245543189626
3396,3402,0.283999148973688
3396,1038,0.275248462495487
5583,1028,0.258632005978507
5583,1215,0.270414975431707
5583,2490,0.296382399638463
5583,3061,0.278141316951433
5583,2393,0.300426771524594
5583,2387,0.271612319846913
5583,5237,0.26352839623793
5607,4419,0.247079482664635
5607,4382,0.257038647719058
5607,2345,0.269200831622943
5607,605,0.280992857617113
5607,3047,0.313401511569879
5607,4748,0.256712515140991
5607,2047,0.241227529774262
5607,5258,0.240700687061103
5607,4258,0.312712784714168
5607,4293,0.249110029328349
5607,3710,0.241811134505824
5607,2438,0.267211693297034
5607,2340,0.31283853577655
5607,3402,0.256633155944975
2634,1817,0.286931406143141
2721,937,0.249813122642342
4377,3993,0.249343121346236
4377,4105,0.242601209372527
4027,2386,0.286923422845076
4027,5237,0.259844023544496
805,2282,0.240725857488797
805,3138,0.301692200894232
805,2004,0.309645749067903
805,5132,0.262015726757805
805,65,0.269004735244756
1137,4428,0.305645196141414
1137,937,0.292940162528076
1137,3296,0.27236599782767
1137,3265,0.277347758626978
1137,5258,0.250034224841368
1137,2281,0.284969248006569
1137,952,0.247332247298314
3501,1191,0.255786151785625
3501,4229,0.27854521964315
3501,65,0.257708080998277
1028,3239,0.263456985960213
1028,5545,0.306431448962122
1028,3047,0.269375713493107
1028,3993,0.263972781728932
1028,3251,0.243650628109913
2067,3691,0.253591943286127
2067,3265,0.243654296477548
2067,3251,0.254805641771989
1428,4957,0.435243890596453
915,3387,0.291268456637005
915,4315,0.242734679620547
915,3296,0.263335988889714
915,2345,0.312080694143888
915,3993,0.267147278561475
915,3388,0.258013745226539
